dt,feedback_text_en
2019-04-05,"Hello, I ordered shoes from xxx from the GANT brand. Unfortunately, I have no return slip, for this article. Can you send me a return slip? Thank you very much. MFG xxx"
2019-04-16,I did not get a bill for the following xxx bomber jacket from Superdry. Please send me an invoice for this item. Many thanks and best regards F.Bekaj
2019-05-06,"?? No, it fits"
2019-03-21,I would like to return this article to the xxx Partner. There was no return label in the package. Please let me have one.
2019-03-27,"Hello, I wanted to return the xxxxx xxxxxx xxxxx from my order, but unfortunately I did not receive a return label. Could you please send that to me by mail? Thank you and best regards, xxx"
2019-04-26,"Dear Ladies and Gentlemen, I wrote a long time ago that you have not credited me the full return! It was Next Jeans! Because both are too big. Please check that in a timely manner. That&#39;s the second time I have to check. Lately, I was credited only on demand, my complete return. Kind regards"
2019-04-05,"Dear Ladies and Gentlemen, The article xxxxxxxxx-C11 was returned by me, but is still shown as open. The return slip is available (shipment number xxxxxxxxxxxx). Could you please check the process. Thank you for your effort, Best regards, xxx"
2019-03-19,"Hello, I have the jeans jacket returned together with the other items from this order. Why was the amount not credited? Thank you for the feedback!"
2019-05-06,Perfect
2019-04-05,"Hello, in the package of your shipping partner NEXT were no return documents, could you send me this please? Many thanks and best regards, xxx"
2019-04-11,The next article is missing the return label
2019-04-25,"Hello xxx Team, I would like to complain about my recently purchased shoes. I had her skateboarding, I slipped and fell. My left shoe is torn on the inside. I would be very grateful for your support. Yours sincerely. xxx"
2019-04-29,"As always, very fast delivery and processing!"
2019-04-09,"Hello, I need return labels for Comma pants. Unfortunately, none was in the package. Thank you"
2019-03-31,"xxx, I have received a payment reminder about € 49.95 to the above order and noticed that I have transferred the amount with the order xxx, so the order was therefore paid € 49.95 too much. Can you rebook this or should I remit and you transfer the overpaid amount back? Thank you for a short feedback. xxx. Greetings xxx"
2019-03-21,"Wrong color, according to images on the website, the bag should be light blue, the bag that arrived is dark blue or almost black."
2019-04-29,"Super packed, lightning delivery, super quality, always happy!"
2019-03-29,"Good day, the shoe I sent back as a return. Since he was not read in as a return, I ask you to catch up and cancel the claim. Thanks in advance. Sincerely, xxx"
2019-03-27,"xxx, When ordering, no return ticket was enclosed with the package of their partner"
2019-04-01,"Dear Ladies and Gentlemen, Your partner&#39;s item has already been sent back via DHL on 30.3.xxxx. The amount of € 89.95 has just been transferred. Many Thanks. Sincerely, xxx xxx xxx xxx xxx xxxxxxx"
